version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_before,metric_after,run_file
real-v0,instructor,baseline,real-v0+p059e842dc7bb+t5cbee1c0416a,059e842dc7bb,5cbee1c0416a,baseline run,Measure unoptimized behavior before fixes,,0.80,samples/runs/real-v0_B_base_openrouter_20260602T082445084724.json
real-v1,instructor,system_prompt.md + tools.yaml,real-v1+p8c40850f965d+tecf5fd2de7a0,8c40850f965d,ecf5fd2de7a0,fix missing handle and news topic,Explicitly map tin/news to topic=news and forbid default account guessing,0.80,0.95,samples/runs/real-v1_B_base_openrouter_20260602T082625951099.json
real-v3,instructor,eval_base.json,real-v3+p1f9582b15a60+t61d1b54324e4,1f9582b15a60,61d1b54324e4,clarify ambiguous switch case,Make M06 explicitly say bỏ Twitter so eval measures source switch not additive request,0.95,1.00,samples/runs/real-v3_B_base_openrouter_20260602T082916299226.json
real-v6,instructor,system_prompt.md + tools.yaml,real-v6+p74ccfd81dc58+t07134da2f195,74ccfd81dc58,07134da2f195,fix bonus policy tool behavior,Map policy_area and call one specific policy area unless multiple categories requested,0.90,1.00,samples/runs/real-v6_B_extension_openrouter_20260602T083748159420.json
